YEAR,SPECIES_CODE,REGULATORY_AREA_NAME,AREA_BIOMASS,BIOMASS_VAR
1999,30152,EASTERN GOA,4204.5,5801623.19026346
2015,30152,EASTERN GOA,2207.6,975098.813799303
1999,30152,CENTRAL GOA,42886,361245988.571016
1999,30420,EASTERN GOA,118.2,3034.6566180806
2009,30152,WESTERN GOA,1403.7,318275.132032666
2009,30420,WESTERN GOA,44692.7,431215888.083904
2013,30152,CENTRAL GOA,55361.3,293412044.016865
1987,30420,WESTERN GOA,45037.8,259936509.383927
2003,30152,CENTRAL GOA,53920.7,1102773591.05232
1990,30152,WESTERN GOA,0,0
1990,30152,CENTRAL GOA,0,0
1990,30420,CENTRAL GOA,73835.9,1813184496.51571
2013,30420,WESTERN GOA,42935.9,806280022.845907
1990,30152,EASTERN GOA,68.1,1537.97880160918
1990,30420,EASTERN GOA,342.6,42181.3717447851
2013,30152,WESTERN GOA,2949.8,2739447.44180255
2013,30420,CENTRAL GOA,327442.6,47863702920.7243
2003,30152,WESTERN GOA,4039.1,4519761.10830794
2003,30152,EASTERN GOA,12896.3,72758676.2960265
2013,30152,EASTERN GOA,40858.7,983095845.419745
2013,30420,EASTERN GOA,75.6,2184.46336476999
1996,30420,EASTERN GOA,191.9,4183.72319549979
1996,30420,WESTERN GOA,28114,133550208.49042
2011,30152,EASTERN GOA,4871,4680480.4721536
2011,30152,WESTERN GOA,10473.4,84111002.5743575
2011,30152,CENTRAL GOA,68062.5,1265878816.31702
2011,30420,CENTRAL GOA,126531.6,3610820022.06419
1990,30420,WESTERN GOA,32897.7,255419460.21555
2009,30152,EASTERN GOA,25808,353303965.723212
2009,30420,EASTERN GOA,70.2,1430.14096319994
2009,30420,CENTRAL GOA,45133,403272146.598433
1996,30152,EASTERN GOA,15673.1,47602709.3763411
1999,30152,WESTERN GOA,2537.6,1358152.91187809
2005,30420,WESTERN GOA,231110.7,14194530874.6289
1993,30420,CENTRAL GOA,90443.7,1295721023.98656
2009,30152,CENTRAL GOA,44911.1,255847362.461814
1993,30420,WESTERN GOA,14507.7,62426420.2584796
1999,30420,CENTRAL GOA,196611.4,21241579481.032
1999,30420,WESTERN GOA,45457.1,399520424.263207
2003,30420,CENTRAL GOA,57159.1,1006784535.57691
2003,30420,EASTERN GOA,5.2,26.9298767804862
2003,30420,WESTERN GOA,9145.6,14366113.5071541
1993,30420,EASTERN GOA,40.7,471.364643640843
1996,30152,CENTRAL GOA,55254.3,1026900265.14453
2007,30152,CENTRAL GOA,58652.4,1170265347.4907
2007,30420,EASTERN GOA,37.6,528.678000081634
2007,30420,CENTRAL GOA,106966.9,3979494153.37192
2017,30152,WESTERN GOA,14436.9,77205165.9193395
1984,30420,EASTERN GOA,5.1,26.2407068089059
1996,30152,WESTERN GOA,3552.8,4716026.21112065
2019,30420,EASTERN GOA,0,0
2005,30152,WESTERN GOA,69295.3,962299237.383903
2001,30420,WESTERN GOA,93291.2,2212986381.80055
1996,30420,CENTRAL GOA,70659.3,573780175.526591
2017,30152,EASTERN GOA,1973.8,214948.326947827
2005,30152,EASTERN GOA,2905.2,981943.998339299
2001,30152,WESTERN GOA,5352.1,8408017.50292054
2021,30152,EASTERN GOA,1636.5,583600.397501619
2017,30420,WESTERN GOA,38426.3,298607383.259304
2005,30420,EASTERN GOA,160,8997.48811252182
2001,30420,CENTRAL GOA,250322.3,40006851008.8803
2001,30152,CENTRAL GOA,25651.5,77690058.5340837
2021,30152,WESTERN GOA,2014.3,418254.32966784
2021,30420,WESTERN GOA,53383.7,385596590.467231
2021,30152,CENTRAL GOA,103418.5,2816884958.61291
2005,30420,CENTRAL GOA,127727.9,3343713213.27775
2005,30152,CENTRAL GOA,98312.3,1705240126.73138
2015,30152,WESTERN GOA,1395.1,463736.260123384
2021,30420,EASTERN GOA,0,0
2017,30420,CENTRAL GOA,111880.5,4310468460.90473
2015,30420,CENTRAL GOA,43241.5,271869450.779721
2015,30420,EASTERN GOA,12.3,151.911131741648
2015,30152,CENTRAL GOA,29187.3,60503010.2350361
2019,30152,WESTERN GOA,3092.7,2156600.64624419
2019,30420,WESTERN GOA,37087.7,254803345.651022
2007,30152,WESTERN GOA,4984.8,3098472.94921421
2007,30152,EASTERN GOA,9436.5,16756364.3493286
2011,30420,EASTERN GOA,28,401.442170173724
2015,30420,WESTERN GOA,5679.6,6658984.07439523
2011,30420,WESTERN GOA,47082.2,893907777.386638
1984,30420,CENTRAL GOA,11612.5,13183311.565639
1984,30420,WESTERN GOA,27716.1,114674266.890043
2017,30420,EASTERN GOA,19.1,364.619569804684
1987,30420,CENTRAL GOA,90878.5,1272412888.65688
2019,30420,CENTRAL GOA,49637.3,688039611.440698
2019,30152,CENTRAL GOA,76161.1,362228219.158892
1987,30420,EASTERN GOA,500.4,239040.353543224
2017,30152,CENTRAL GOA,34859.5,91024208.1599552
2019,30152,EASTERN GOA,9111.1,10527931.4947836
2007,30420,WESTERN GOA,114221.9,3174145095.1438
2021,30420,CENTRAL GOA,37286.5,618535164.365931
